id,name,desc,url
PD1,Transaction Banking,This includes cash management solutions and financing options to support your business globally.,https://www.sc.com/en/
PD2,Financial Markets,"Access research and trade execution services across asset classes like foreign exchange (FX), rates, and commodities.",https://www.sc.com/en/
PD3,Accounts,Various types of bank accounts,https://www.sc.com/en/
PD4,Credit Cards,A range of credit cards with different features.,https://www.sc.com/en/
PD5,Mortgages,Home financing solutions,https://www.sc.com/en/
PD6,Investments,Investment products and services,https://www.sc.com/en/
PD7,Trade Finance,Services for import and export transactions.,https://www.sc.com/en/
PD8,Cash Management,Solutions for efficient treasury management.,https://www.sc.com/en/
PD9,Lending and Corporate Finance,Financing options for businesses.,https://www.sc.com/en/
PD10,Liquidity Management,Efficiently manage your cash flow across different markets.,https://www.sc.com/en/
PD11,Account Services,Access realtime account information and perform transactions.,https://www.sc.com/en/
PD12,Foreign Exchange (FX),Hedge currency risk and execute FX transactions.,https://www.sc.com/en/
PD13,Escrow Services,Securely hold funds for specific purposes.,https://www.sc.com/en/
PD14,Cash Flow Optimization,Balance shortterm liabilities with inventory and surplus cash.,https://www.sc.com/en/
PD15,Risk Management,Mitigate financial risks while planning for growth.,https://www.sc.com/en/
PD16,Sustainable Account,Meet daily cash needs while contributing to sustainable development.,https://www.sc.com/en/
PD17,Digital Platforms,Standard Chartered provides userfriendly digital platforms for realtime transactions and datadriven decisionmaking.,https://www.sc.com/en/
PD18,Credit Bills Negotiation, Facilitates payment for exported goods.,https://www.sc.com/en/
PD19,Pre-shipment Financing (INR and FCY), Funding before shipment.,https://www.sc.com/en/
PD20,Post-shipment Financing, Working capital after shipment.,https://www.sc.com/en/
PD21,Export Letter of Credit (LC) Advising and Confirmation, Ensures payment security.,https://www.sc.com/en/
PD22,Export Bills on Collection Services, Efficient handling of export documents.,https://www.sc.com/en/
PD23,Bank Line Discounting, Access funds against export receivables.,https://www.sc.com/en/
PD24,Letter of Credit (LC), Secure payment method for imports.,https://www.sc.com/en/
PD25,Shipping Guarantees, Ensures timely delivery.,https://www.sc.com/en/
PD26,Import Financing, Working capital for import transactions.,https://www.sc.com/en/
PD27,Custom Bonds and Guarantees, Compliance with customs requirements.,https://www.sc.com/en/
PD28,Import Collections, Streamlined import document handling.,https://www.sc.com/en/
PD29,Direct and Advance Remittances, Efficient payment methods.,https://www.sc.com/en/
PD30,Buyers Credit LOU, Financing for import payments.,https://www.sc.com/en/
PD31,Performance and Financial Bank Guarantees, Assurance for contractual obligations.,https://www.sc.com/en/
PD32,Rates,"Access to the world’s highest-potential rates markets.Trade in derivatives, securities, cross-currency products, structured rate products, and financing products. - Benefit from broad product capabilities and understanding of nuances across these markets.",https://www.sc.com/en/
PD33,Fixed Income,Global team of fixed income specialists. Market access opportunities from long-established onshore operations in emerging and frontier markets. Actionable trade ideas generated by investment strategists.,https://www.sc.com/en/
PD34,Equities,"Access to major stock exchanges globally. Equity products: listed equities, ETFs, listed warrants, equity structured notes, and derivatives. Trading capabilities include Direct Market Access and algorithmic strategies.",https://www.sc.com/en/
PD35,Foreign Currency,Market-leading breadth of product offerings. Speed of execution and quality pricing in OTC FX Derivatives. Customized solutions for cash flow requirements and strategic trading.,https://www.sc.com/en/
PD36,Structured Products,Limit downside risk or seek higher returns. Open architecture platform with a wide range of payoffs and pricing from best-in-class institutions.,https://www.sc.com/en/
PD37,Mutual Funds,Proprietary fund selection process. Independent list of 100-150 mutual funds across asset classes. Access to strategies from developed to frontier markets.,https://www.sc.com/en/
PD38,Discretionary Portfolio,"Signature program with discretionary portfolio management. Boutique third-party investment managers and in-house expertise. Diverse portfolios across asset class, geography, sector, and manager.",https://www.sc.com/en/
PD39,Lending,Lombard lending across various asset classes. Cross-border financing solutions. Structuring expertise for collateral including real estate and promoter shares.,https://www.sc.com/en/
PD40,Alternatives,Curated alternative investment platform. Exclusive investment opportunities for clients.,https://www.sc.com/en/
